,0 - 10,10 - 20,20 - 30,30 - 40,40 - 50,50 - 60,60 - 70,70 - 80,80 - 90,90 - 100,100 - 110,110 - 120,120 - 130,130 - 140,140 - 150,150 - 200,200 - 250,250 - 315,315 - 395
0 - 10,0.012319498957780681,0.0010128070488035323,0.0007589390809174886,0.00031864486677985463,0.00024371585319598533,0.0001666328884697796,2.3181005885436216e-05,3.649861541164867e-05,1.225585254634538e-05,5.5225591095553594e-05,2.851122418208724e-05,-1.4610064511909581e-06,-3.9174139433122405e-05,1.010748797940345e-05,-1.6266072104725202e-05,-1.0091441295912151e-05,4.536400449879793e-06,-7.5168877406638815e-06,-1.2828605404740724e-05
10 - 20,0.0010128070488035323,0.005944925528601777,0.0009259962462861267,0.0004472696541677967,6.841847791921093e-05,7.374237474075729e-05,2.1978239972109314e-05,3.2135171097713745e-05,7.352241960200758e-05,1.1693231855816813e-05,5.8206457185425434e-05,-4.2952083098732964e-05,1.277738746961727e-05,5.55205687139656e-05,-2.0199366892477837e-06,3.6370143891054053e-06,1.9994635268441722e-06,-7.2104190339690365e-06,-4.687094685075613e-06
20 - 30,0.0007589390809174886,0.0009259962462861267,0.0036356455594597453,0.0007145597574094316,0.0003261283507844312,0.00021502957046291951,0.0001384104074587076,-5.956701070539952e-06,1.3680932286965549e-05,-2.538082472255682e-05,-4.637645740611767e-05,-5.365515753990353e-05,-5.610864958146162e-05,-2.7792804069249223e-05,-1.0177942506706908e-05,-2.038465841816296e-05,-2.6195442239854138e-05,-9.56122865608461e-06,-1.4131780271777636e-05
30 - 40,0.00031864486677985463,0.0004472696541677967,0.0007145597574094316,0.002026171416879296,0.0004521020757288679,0.00021332575315469854,0.00014806075546429582,1.1558721527062513e-05,1.4079462933708754e-05,9.90190319690033e-06,-3.8573101064930514e-06,-1.3058232541671589e-05,4.02453601307114e-06,-1.1069446153330816e-05,-5.739491754846692e-06,2.7456896291476055e-05,4.610541917688645e-06,3.833706111601184e-06,1.6135653584633674e-05
40 - 50,0.00024371585319598533,6.841847791921093e-05,0.0003261283507844312,0.0004521020757288679,0.0013901251581459643,0.0003589383429267075,0.00017956321586577156,0.00011600825520436425,6.67446106976706e-05,1.444009680211298e-05,-2.7373675786065376e-05,-3.1774566403812535e-05,-6.420269680528416e-06,-1.6554782536403502e-05,1.3465729741126827e-05,6.7417174772573955e-06,7.260896013444339e-06,1.4172245132967518e-05,2.1311163940685534e-05
50 - 60,0.0001666328884697796,7.374237474075729e-05,0.00021502957046291951,0.00021332575315469854,0.0003589383429267075,0.001110215950909469,0.0003113781601224858,0.000159011745034576,0.00011354374026858271,3.4092252973912656e-05,2.0812767392924413e-05,3.092387023668543e-05,1.3064298874521495e-05,-1.3445472641043356e-05,2.1522804450555254e-05,-1.260600223579616e-06,-5.568131852580189e-06,-4.867175196161886e-06,-2.5659946714938362e-06
60 - 70,2.3181005885436216e-05,2.1978239972109314e-05,0.0001384104074587076,0.00014806075546429582,0.00017956321586577156,0.0003113781601224858,0.000819216303189313,0.00021508784196925664,0.0001163878261055653,8.417842316427536e-05,6.308246309973029e-05,3.482806361313012e-05,2.717901123449872e-05,4.974378807628389e-07,1.4171093170620552e-05,7.788080869549332e-06,1.3111191920553518e-05,8.678013399896146e-06,1.2412447897744281e-05
70 - 80,3.649861541164867e-05,3.2135171097713745e-05,-5.956701070539952e-06,1.1558721527062513e-05,0.00011600825520436425,0.000159011745034576,0.00021508784196925664,0.0006396692454676356,0.00024369283370812207,0.00012671050860910978,9.760542546936472e-05,6.850776876077783e-05,5.4219090446501665e-05,1.6818361917373516e-05,3.772699313314211e-05,1.203394834332817e-05,5.000169443101143e-06,5.841760242203673e-06,1.2063644817271499e-05
80 - 90,1.225585254634538e-05,7.352241960200758e-05,1.3680932286965549e-05,1.4079462933708754e-05,6.67446106976706e-05,0.00011354374026858271,0.0001163878261055653,0.00024369283370812207,0.0005457654280905446,0.00017382016982553204,0.00011096120563794723,7.616854331107922e-05,4.606939164430773e-05,2.2598826365327206e-05,3.810272570906742e-05,1.563789584178387e-05,9.185342716086836e-06,3.045608890451927e-06,9.938949391099093e-06
90 - 100,5.5225591095553594e-05,1.1693231855816813e-05,-2.538082472255682e-05,9.90190319690033e-06,1.444009680211298e-05,3.4092252973912656e-05,8.417842316427536e-05,0.00012671050860910978,0.00017382016982553204,0.0004274319452825992,0.00014247478419617096,9.515179922935239e-05,6.291540165202772e-05,3.0982562956154663e-05,4.4273587074990266e-05,1.6259460595928756e-05,1.082466862564955e-05,7.129802060188277e-06,7.6193135434596345e-06
100 - 110,2.851122418208724e-05,5.8206457185425434e-05,-4.637645740611767e-05,-3.8573101064930514e-06,-2.7373675786065376e-05,2.0812767392924413e-05,6.308246309973029e-05,9.760542546936472e-05,0.00011096120563794723,0.00014247478419617096,0.00036227957190681424,0.0001314369140715968,8.947323369464419e-05,6.586123062398058e-05,5.243398742632239e-05,2.391795860971673e-05,1.5570807262808695e-05,6.821066163353836e-06,1.0272069526461563e-05
110 - 120,-1.4610064511909581e-06,-4.2952083098732964e-05,-5.365515753990353e-05,-1.3058232541671589e-05,-3.1774566403812535e-05,3.092387023668543e-05,3.482806361313012e-05,6.850776876077783e-05,7.616854331107922e-05,9.515179922935239e-05,0.0001314369140715968,0.00030922666994352027,0.00011725559714299853,7.853125981923584e-05,5.026989744337729e-05,2.2804668654084786e-05,1.324232134292559e-05,1.2979635291880306e-05,1.3278661658885414e-05
120 - 130,-3.9174139433122405e-05,1.277738746961727e-05,-5.610864958146162e-05,4.02453601307114e-06,-6.420269680528416e-06,1.3064298874521495e-05,2.717901123449872e-05,5.4219090446501665e-05,4.606939164430773e-05,6.291540165202772e-05,8.947323369464419e-05,0.00011725559714299853,0.0002701898787646059,0.0001056619568424183,7.009148004907115e-05,3.644765845045141e-05,2.570425645949813e-05,1.911631957098932e-05,1.6016413956120888e-05
130 - 140,1.010748797940345e-05,5.55205687139656e-05,-2.7792804069249223e-05,-1.1069446153330816e-05,-1.6554782536403502e-05,-1.3445472641043356e-05,4.974378807628389e-07,1.6818361917373516e-05,2.2598826365327206e-05,3.0982562956154663e-05,6.586123062398058e-05,7.853125981923584e-05,0.0001056619568424183,0.00024993115102079423,8.777788391945287e-05,3.948942354360521e-05,2.2124223053193652e-05,1.555747611408374e-05,1.0296804330497518e-05
140 - 150,-1.6266072104725202e-05,-2.0199366892477837e-06,-1.0177942506706908e-05,-5.739491754846692e-06,1.3465729741126827e-05,2.1522804450555254e-05,1.4171093170620552e-05,3.772699313314211e-05,3.810272570906742e-05,4.4273587074990266e-05,5.243398742632239e-05,5.026989744337729e-05,7.009148004907115e-05,8.777788391945287e-05,0.00022651993337320168,5.186246813420717e-05,2.711755595135866e-05,2.0643989322445396e-05,1.8182926702363345e-05
150 - 200,-1.0091441295912151e-05,3.6370143891054053e-06,-2.038465841816296e-05,2.7456896291476055e-05,6.7417174772573955e-06,-1.260600223579616e-06,7.788080869549332e-06,1.203394834332817e-05,1.563789584178387e-05,1.6259460595928756e-05,2.391795860971673e-05,2.2804668654084786e-05,3.644765845045141e-05,3.948942354360521e-05,5.186246813420717e-05,8.173276651152123e-05,3.36144062754784e-05,2.4165556113602674e-05,2.1718958853667995e-05
200 - 250,4.536400449879793e-06,1.9994635268441722e-06,-2.6195442239854138e-05,4.610541917688645e-06,7.260896013444339e-06,-5.568131852580189e-06,1.3111191920553518e-05,5.000169443101143e-06,9.185342716086836e-06,1.082466862564955e-05,1.5570807262808695e-05,1.324232134292559e-05,2.570425645949813e-05,2.2124223053193652e-05,2.711755595135866e-05,3.36144062754784e-05,6.460860109678441e-05,3.375892056091792e-05,2.7827216014097387e-05
250 - 315,-7.5168877406638815e-06,-7.2104190339690365e-06,-9.56122865608461e-06,3.833706111601184e-06,1.4172245132967518e-05,-4.867175196161886e-06,8.678013399896146e-06,5.841760242203673e-06,3.045608890451927e-06,7.129802060188277e-06,6.821066163353836e-06,1.2979635291880306e-05,1.911631957098932e-05,1.555747611408374e-05,2.0643989322445396e-05,2.4165556113602674e-05,3.375892056091792e-05,5.410133784400477e-05,3.706775454693713e-05
315 - 395,-1.2828605404740724e-05,-4.687094685075613e-06,-1.4131780271777636e-05,1.6135653584633674e-05,2.1311163940685534e-05,-2.5659946714938362e-06,1.2412447897744281e-05,1.2063644817271499e-05,9.938949391099093e-06,7.6193135434596345e-06,1.0272069526461563e-05,1.3278661658885414e-05,1.6016413956120888e-05,1.0296804330497518e-05,1.8182926702363345e-05,2.1718958853667995e-05,2.7827216014097387e-05,3.706775454693713e-05,5.505946550194972e-05
